,prix_actuel,prix_min,prix_max,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
CBSM,8.95,8.95,8.96,8.953333333333333,-0.11160714285716028,0.07891816754315492,-0.005000000000001593,3.0
CCEP,74.0,74.0,76.9,75.45,-3.771131339401828,,0.0,2.0
CCN,124.56,124.56,132.0,129.18666666666667,-5.636363636363635,2.9404715719154684,-3.7200000000000024,3.0
CDA,20.5,20.5,22.5,21.753333333333334,-7.906558849955083,7.047772889454416,-0.8800000000000021,3.0
CDI,497.4,487.0,497.4,492.1333333333334,1.0975609756097515,2.2286476812426135,2.6999999999999416,3.0
CEN,62.4,62.2,62.4,62.333333333333336,0.32154340836012174,0.2273655244972799,0.10000000000000155,3.0
CENER,10.56,10.56,10.84,10.7,-2.583025830258297,,0.0,2.0
CFEB,8.74,8.74,8.9,8.82,-1.7977528089887655,,0.0,2.0
CFI,2.2,1.76,2.2,1.906666666666667,25.00000000000001,17.67766952966369,0.21999999999999997,3.0
CGM,10.75,10.75,10.8,10.775,-0.4629629629629695,,0.0,2.0
CHSR,7.0,7.0,7.0,7.0,0.0,,0.0,2.0
CIV,105.0,105.0,118.84,113.61333333333334,-11.645910467855943,6.157563647025742,-6.920000000000009,3.0
CLA,1.624,1.624,1.74,1.6900000000000002,-4.806565064478304,6.123284982842473,-0.040999999999999974,3.0
CLARI,3.972,3.972,4.314,4.190666666666666,-7.326178254783006,6.06766003283596,-0.1569999999999994,3.0
CLEX,0.755,0.755,0.755,0.755,0.0,,0.0,2.0
CMBT,7.53,7.04,7.53,7.285,6.960227272727276,,0.0,2.0
CMCOM,4.51,4.51,4.57,4.54,-1.3129102844639058,,0.0,2.0
CMO,104.84,104.84,112.0,109.60666666666668,-6.376138596177889,4.533061798885543,-3.5699999999999963,3.0
CNDF,21.975,21.975,23.93,23.238333333333333,-7.7068458630827275,6.133197745885305,-0.9174999999999992,3.0
CO,0.529,0.529,0.5985,0.5710000000000001,-9.649871904355251,9.781188019225473,-0.028250000000000025,3.0
COFA,15.4,15.4,16.13,15.856666666666667,-3.9900249376558534,3.5969289564827833,-0.32,3.0
COFB,74.85,74.85,76.05,75.44999999999999,-1.5779092702169664,,0.0,2.0
COH,8.6,8.58,8.7,8.626666666666667,-1.1494252873563178,1.1401464537096775,-0.05000000000000069,3.0
COLR,37.62,37.62,37.68,37.65,-0.15923566878981496,,0.0,2.0
COMB,252.0,252.0,258.0,255.0,-2.3255813953488373,,0.0,2.0
COTY,3.647,3.639,3.6706,3.6522,-0.6429466572222543,0.7641952537634094,-0.011800000000000328,3.0
COUR,121.0,121.0,121.0,121.0,0.0,0.0,5.066220927721262e-16,3.0
COV,55.65,55.65,56.1,55.949999999999996,-0.8021390374331602,0.5671979528234361,-0.22499999999999992,3.0
COVH,23.5,23.1,23.5,23.233333333333334,1.7316017316017254,1.2244273267299424,0.19999999999999823,3.0
CPINV,12.4,12.4,12.44,12.42,-0.32154340836012174,,0.0,2.0
CRAP,133.0,133.0,147.98,142.49333333333334,-9.215017064846416,7.872381369583363,-6.749999999999991,3.0
CRAV,143.4,143.4,150.2,147.86666666666667,-4.527296937416766,3.0171144735475046,-3.3999999999999884,3.0
CRBN,17.16,17.16,17.3,17.23,-0.8092485549132981,,0.0,2.0
CRBP2,25.7,25.7,26.964,26.52633333333333,-4.687731790535526,3.0635313800515087,-0.6319999999999996,3.0
